person_id,label,net_dx,net_dy,net_dist,duration_sec,path_length,straightness,avg_speed,dir_cos,dir_sin,x_range,y_range
me,right,0.07573947212374843,0.06707711439503372,0.10117216471514537,0.5470000000004802,0.10117216471514537,1.0,0.18495825359242513,0.7486196656659093,0.6629996954586497,0.07573947212374843,0.06707711439503372
me,right,0.17393789134442772,-0.017464477526682676,0.17481246528959526,0.8909999999996217,0.21300581507389738,0.8206933938819847,0.23906376551513786,0.9949970733281593,-0.09990407433332016,0.17393789134442772,0.05878989121191758
me,right,0.055254110642331766,-0.02203792467052257,0.059486862975439106,0.8279999999995198,0.07052037869857436,0.8435414567142943,0.08516953949108123,0.9288455951214816,-0.3704670841295089,0.055254110642331766,0.03289634055075663
me,right,0.10744113892357343,-0.006402164326094417,0.10763171484861199,0.7970000000004802,0.12023239978028075,0.8951972600173004,0.15085621051469048,0.9982293701693167,-0.059482136237439864,0.10744113892357343,0.029803646326415856
me,right,0.06347544295930518,0.00848315709534253,0.06403979866601914,0.5470000000004802,0.06403979866601914,1.0,0.11707458622662324,0.9911874222207164,0.13246695448847298,0.06347544295930518,0.00848315709534253
me,right,0.14065533762444316,0.11645137059155641,0.18260571106867962,0.4850000000005821,0.18260571106867962,1.0,0.3765066207597123,0.7702680096984559,0.6377203095677442,0.14065533762444316,0.11645137059155641
me,right,0.0451740383349043,0.02630983522500374,0.052277157239565455,0.5310000000008586,0.052277157239565455,1.0,0.09845039028150834,0.8641257620013578,0.5032759356909217,0.0451740383349043,0.02630983522500374
me,right,0.19956078652386644,-0.04009513020944955,0.20354883194097897,0.8440000000009604,0.2281169436905898,0.8923003642248768,0.27028073896958554,0.9804074266647282,-0.19698039938188167,0.19956078652386644,0.07425165099305597
me,right,0.0545113363600116,0.0156255580547362,0.056706647372916114,0.9530000000013388,0.1327222056276779,0.4272581751089473,0.1392677918441673,0.9612865313925607,0.275550729564012,0.059890355524780614,0.05986120837408215
me,right,0.04447268288195416,0.0005661541995152231,0.044476286415307736,0.5630000000001019,0.044476286415307736,1.0,0.0789987325316158,0.9999189785469064,0.012729349618550111,0.04447268288195416,0.0005661541995152231
me,right,0.09491767744008528,0.09844180634958577,0.13674850905216268,0.9539999999997235,0.17316214103999603,0.7897136650705726,0.18151167823904216,0.6941039291615162,0.719874805450604,0.11101718672753846,0.10599718663005087
me,right,0.004554545582384217,0.005348696626420457,0.007025129255999292,0.7029999999995198,0.007025129255999292,1.0,0.00999307148791478,0.6483219619759657,0.7613662939870891,0.004554545582384217,0.005348696626420457
me,right,0.11763289229904439,0.000850458615061056,0.11763596656845435,0.375,0.11763596656845435,1.0,0.3136959108492116,0.9999738662460161,0.007229579862942342,0.11763289229904439,0.000850458615061056
me,right,0.09860752312199661,-0.04134336799765681,0.10692388738558269,0.8909999999996217,0.2392073412458527,0.44699249959761217,0.26847064112901714,0.9222216431993715,-0.38666166194057994,0.15368422883247013,0.05353300575337128
me,right,0.027427130287228763,-0.011954374040350046,0.029919133250968625,0.4529999999995198,0.029919133250968625,1.0,0.06604665176821267,0.9167087180355005,-0.39955616160648727,0.027427130287228763,0.011954374040350046
me,right,0.019416004291653022,0.006534984865026905,0.02048626978831479,0.5940000000009604,0.02048626978831479,1.0,0.03448866967724186,0.9477569363422013,0.3189934005825897,0.019416004291653022,0.006534984865026905
me,right,0.16767072130076743,-0.1510397328546138,0.2256689426622829,0.9530000000013388,0.2256689426622829,1.0,0.2367984707890513,0.7429942256240784,-0.6692978265983509,0.16767072130076743,0.1510397328546138
me,right,0.06587196108335491,-0.0019253163252468397,0.06590009180508997,0.625,0.06590009180508997,1.0,0.10544014688814396,0.9995731307656102,-0.029215685024252615,0.06587196108335491,0.0019253163252468397
me,right,-0.04600671693056857,0.013168431449166684,0.047854211826764706,0.4539999999997235,0.047854211826764706,1.0,0.10540575292245341,-0.9613932645493319,0.27517810755795635,0.04600671693056857,0.013168431449166684
me,right,0.09039995724860328,-0.0660982701720455,0.11198720279695364,0.7350000000005821,0.11198720279695364,1.0,0.1523635412202244,0.8072347106705519,-0.5902305667183212,0.09039995724860328,0.0660982701720455
me,right,0.038172581285459195,-0.058383330076308027,0.06975499403479384,0.8599999999987631,0.06975499403479384,1.0,0.0811104581801095,0.5472379693189952,-0.836977063566035,0.038172581285459195,0.058383330076308027
me,right,0.20142239178524024,-0.011160057292320502,0.20173132327740947,0.9380000000001019,0.26415012956405787,0.7636995053166858,0.2816099462303083,0.9984685992876554,-0.05532139040685231,0.20142239178524024,0.06442729958209492
me,right,0.10702382398173815,-0.08757088105501482,0.13828506104574573,0.8430000000007567,0.13832400688149807,0.9997184448554494,0.1640854174156274,0.7739362673914131,-0.633263494934176,0.10702382398173815,0.08757088105501482
me,right,0.07765725222441766,-0.02036299328166702,0.08028262774994374,0.8909999999996217,0.12299041334652236,0.6527551665652954,0.13803637861568416,0.9672983359027144,-0.2536413400056065,0.09116809625753008,0.028418911726874052
me,right,0.05917673151376446,-0.07434666345824115,0.09502269160587451,0.8899999999994179,0.09608648055045182,0.9889288384954557,0.10796233769720749,0.6227642104605046,-0.7824095718800379,0.05917673151376446,0.07434666345824115
me,right,0.13724261246240022,-0.04088860723133425,0.14320409518174712,0.8909999999996217,0.14797484522640636,0.9677597226923277,0.16607726736977463,0.9583707245817175,-0.28552680130718733,0.13724261246240022,0.04718053266322386
me,right,0.2725223720919027,-0.021536204067634568,0.27337200181481697,0.9839999999985594,0.2734295784064631,0.9997894280787701,0.27787558781185306,0.99689203825822,-0.07877984550233223,0.2725223720919027,0.021536204067634568
me,right,0.21597602523167136,-0.020663765763340503,0.2169622886365134,0.8440000000009604,0.22077529624563277,0.9827290114702097,0.2615821045561393,0.9954542173617353,-0.09524127853370606,0.21597602523167136,0.033126481324757706
me,right,0.05854411219828437,-0.03605910907232679,0.0687580716728972,0.9690000000009604,0.12098911644758237,0.5682996429078488,0.12485976929562688,0.8514507573277549,-0.5244345601178404,0.05854411219828437,0.05039216858814366
me,right,0.21591345288416697,0.059772231067562354,0.2240342356497271,0.8280000000013388,0.2271208235579703,0.9864099299223641,0.2743005115429989,0.963752045565675,0.26679954023194474,0.21591345288416697,0.0642775336852488
me,right,0.23396783313101355,0.012565682921173327,0.23430502198479927,0.9220000000004802,0.2964810448297735,0.7902866846658848,0.32156295534665846,0.9985608978803382,0.053629592804837686,0.23396783313101355,0.09318837158171306
me,right,0.11834413285083534,0.029701635457003994,0.12201442918375237,0.9840000000003783,0.14936396380006098,0.8168933528510346,0.151792646138215,0.969919161549413,0.24342723771033395,0.1311527460853089,0.03461744268788858
me,right,0.0,0.0,0.0,0.35900000000037835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
me,right,0.22614782740428385,0.03384308044110673,0.22866611890138203,0.9839999999985594,0.2890196368153076,0.7911784867666506,0.29371914310541747,0.9889870370424915,0.14800216404469788,0.2366516424650953,0.0713823342940243
